year,cname_year,wdi_armedf,wdi_armedfper,wdi_expmilgdp,wdi_expmilgexp,wdi_imparms,scf_milexp,scf_ExpPerTroop,scf_Praetorian
1990,"Yemen, North 1990",.,.,.,.,.,.,.,.
1990,"Yemen, South 1990",.,.,.,.,.,.,.,.
1990,Yugoslavia 1990,.,.,.,.,.,.,.,.
1990,South Africa 1990,85000,1,3.896,.,13000000,6950909137.81,81774.44,16.14
1990,Zambia 1990,16000,0,3.706,.,.,193990889.00,12123.67,18.86
1990,Zimbabwe 1990,45000,1,4.739,19,2000000,336443581.65,7476.36,11.04
1991,Afghanistan 1991,45000,1,.,.,1438000000,.,.,.
1991,Angola 1991,150000,4,7.125,.,.,.,.,.
1991,Albania 1991,.,.,.,.,.,.,.,.
1991,Andorra 1991,.,.,.,.,.,.,.,.
1991,United Arab Emirates 1991,66000,7,.,.,235000000,.,.,.
1991,Argentina 1991,70000,1,1.420,.,.,2052312289.66,29318.33,6.73
1991,Armenia 1991,.,.,.,.,.,.,.,.
1991,Antigua and Barbuda 1991,.,.,.,.,.,.,.,.
1991,Australia 1991,68000,1,2.174,.,213000000,9242718260.27,135920.33,5.52
1991,Austria 1991,44000,1,1.150,.,6000000,2653854119.28,60313.50,2.03
1991,Azerbaijan 1991,.,.,.,.,.,.,.,.
1991,Burundi 1991,12000,0,3.662,16,.,47064112.13,3921.68,17.58
1991,Belgium 1991,101000,2,2.185,.,133000000,6313207409.32,62506.39,2.16
1991,Benin 1991,7000,0,.,.,.,.,.,.
1991,Burkina Faso 1991,10000,0,2.217,.,4000000,57817824.72,5781.20,20.06
1991,Bangladesh 1991,107000,0,1.092,.,79000000,387793531.87,3624.20,11.08
1991,Bulgaria 1991,107000,3,3.043,8,339000000,693475903.01,6481.02,2.46
1991,Bahrain 1991,8000,4,5.724,.,68000000,460857585.90,57600.00,3.65
1991,Bahamas 1991,.,.,.,.,3000000,.,.,.
1991,Bosnia and Herzegovina 1991,.,.,.,.,.,.,.,.
1991,Belarus 1991,.,.,.,.,.,.,.,.
1991,Belize 1991,1000,2,1.064,6,.,5692087.72,5686.40,2.03
1991,Bolivia 1991,33000,1,2.696,.,11000000,160778180.91,4871.92,5.71
1991,Brazil 1991,295000,0,1.954,8,168000000,11878000445.45,40264.27,10.13
1991,Barbados 1991,.,.,.,.,.,.,.,.
1991,Brunei 1991,4000,4,6.630,.,3000000,471442147.52,117831.08,4.38
1991,Bhutan 1991,.,.,.,.,.,.,.,.
1991,Botswana 1991,7000,1,4.369,16,2000000,242398247.01,34623.37,8.86
1991,Central African Republic 1991,4000,0,1.568,.,.,17125292.05,4280.25,11.80
1991,Canada 1991,86000,1,1.864,7,751000000,14132649777.25,164331.23,6.11
1991,Switzerland 1991,22000,1,1.542,.,480000000,5131005863.75,233216.94,4.77
1991,Chile 1991,90000,2,2.850,.,111000000,1675685767.03,18618.52,4.23
1991,China 1991,3200000,0,2.434,.,392000000,14036682033.48,4386.46,8.75
1991,Cote d'Ivoire 1991,15000,0,1.374,.,.,187068908.58,12470.43,11.54
1991,Cameroon 1991,24000,1,1.505,10,.,174697617.37,7278.76,7.79
1991,"Congo, Democratic Republic 1991",60000,0,.,.,.,.,.,.
1991,Congo 1991,9000,1,.,.,.,.,.,.
1991,Colombia 1991,110000,1,2.210,.,70000000,2133236302.65,19392.88,7.02
1991,Comoros 1991,.,.,.,.,.,.,.,.
1991,Cape Verde 1991,1000,1,.,.,.,.,.,.
1991,Costa Rica 1991,8000,1,.,.,.,.,.,.
1991,Czechoslovakia 1991,.,.,.,.,.,.,.,.
1991,Cuba 1991,297000,7,6.511,.,159000000,2240898818.22,7545.09,2.34
1991,Cyprus (-1974) 1991,.,.,.,.,.,.,.,.
1991,Cyprus (1975-) 1991,10000,3,7.265,.,79000000,743916097.21,74384.17,4.32
1991,Czech Republic 1991,.,.,.,.,.,.,.,.
1991,"Germany, East 1991",.,.,.,.,.,.,.,.
1991,Germany 1991,457000,1,2.122,.,728000000,51019340289.37,111639.45,3.72
1991,"Germany, West 1991",.,.,.,.,.,.,.,.
1991,Djibouti 1991,3000,2,6.871,.,1000000,48210040.29,16064.66,13.98
1991,Dominica 1991,.,.,.,.,.,.,.,.
1991,Denmark 1991,30000,1,1.923,.,148000000,3701301339.75,123372.60,3.30
1991,Dominican Republic 1991,21000,1,0.349,.,.,55823251.64,2658.12,1.22
1991,Algeria 1991,126000,2,1.236,.,1035000000,815402727.67,6471.40,2.61
1991,Ecuador 1991,53000,1,1.231,12,139000000,344080198.31,6491.96,2.43
1991,Egypt 1991,434000,3,4.858,18,935000000,2431963769.68,5603.59,6.46
1991,Eritrea 1991,.,.,.,.,.,.,.,.
1991,Spain 1991,246000,2,1.584,.,112000000,12083273611.69,49118.80,2.51
1991,Estonia 1991,.,.,.,.,.,.,.,.
1991,Ethiopia (-1992) 1991,120000,1,3.929,30,80000000,252446780.27,2103.71,16.30
1991,Ethiopia (1993-) 1991,.,.,.,.,.,.,.,.
1991,Finland 1991,32000,1,1.721,.,62000000,2325712488.89,72676.24,2.70
1991,Fiji 1991,5000,2,2.347,10,.,48294634.90,9657.00,3.45
1991,France (-1962) 1991,.,.,.,.,.,.,.,.
1991,France (1963-) 1991,542000,2,3.348,.,973000000,55816382342.27,102982.07,3.62
1991,Micronesia 1991,.,.,.,.,.,.,.,.
1991,Gabon 1991,10000,3,.,.,.,.,.,.
1991,United Kingdom 1991,301000,1,3.682,.,935000000,58821118239.34,195418.35,7.02
1991,Georgia 1991,.,.,.,.,.,.,.,.
1991,Ghana 1991,9000,0,0.627,.,1000000,36387588.84,4042.62,10.49
1991,Guinea 1991,15000,1,2.380,.,.,42028559.56,2801.72,10.10
1991,Gambia 1991,2000,1,0.579,.,.,2323717.04,1161.28,2.75
1991,Guinea-Bissau 1991,12000,3,.,.,6000000,.,.,.
1991,Equatorial Guinea 1991,1000,0,.,.,.,.,.,.
1991,Greece 1991,205000,5,2.993,.,475000000,4965929253.18,24223.93,1.50
1991,Grenada 1991,.,.,.,.,.,.,.,.
1991,Guatemala 1991,43000,1,1.080,13,0,175310908.97,4076.90,2.36
1991,Guyana 1991,4000,1,0.603,.,.,3159243.60,789.61,1.08
1991,Honduras 1991,17000,1,.,.,.,.,.,.
1991,Croatia 1991,.,.,.,.,.,.,.,.
1991,Haiti 1991,8000,0,0.088,.,.,.,.,.
1991,Hungary 1991,87000,2,2.364,.,22000000,1844955763.73,21206.14,2.82
1991,Indonesia 1991,278000,0,1.324,13,11000000,2164731427.64,7786.78,8.79
1991,India 1991,1270000,0,2.910,19,1897000000,10299642962.73,8109.95,20.36
1991,Ireland 1991,13000,1,1.203,.,11000000,989738071.57,76127.84,3.27
1991,Iran 1991,465000,3,2.203,17,1022000000,3044760104.45,6547.86,2.71
1991,Iraq 1991,475000,12,.,.,.,.,.,.
1991,Iceland 1991,.,.,.,.,.,.,.,.
1991,Israel 1991,190000,11,14.776,.,1227000000,10036814968.39,52825.06,3.85
1991,Italy 1991,473000,2,1.959,.,192000000,29865240090.24,63139.91,2.35
1991,Jamaica 1991,3000,0,0.553,.,.,49679889.71,16554.45,4.43
1991,Jordan 1991,100000,13,9.973,34,24000000,568784635.68,5687.79,3.54
1991,Japan 1991,250000,0,0.810,.,2915000000,32229834809.06,128918.82,4.01
1991,Kazakhstan 1991,.,.,.,.,.,.,.,.
1991,Kenya 1991,20000,0,2.354,12,14000000,310946040.17,15546.52,28.53
1991,Kyrgyzstan 1991,.,.,.,.,.,.,.,.
1991,Cambodia 1991,112000,3,.,.,.,.,.,.
1991,Kiribati 1991,.,.,.,.,.,.,.,.
1991,St Kitts and Nevis 1991,.,.,.,.,.,.,.,.
1991,"Korea, South 1991",750000,4,3.297,25,910000000,13690968602.88,18254.60,1.90
1991,Kuwait 1991,10000,1,117.388,56,516000000,.,.,.
1991,Laos 1991,53000,3,10.044,.,.,116294153.30,2194.19,8.28
1991,Lebanon 1991,36000,5,5.155,.,.,648743591.52,18020.15,3.94
1991,Liberia 1991,5000,1,7.184,.,.,31902973.33,6379.32,29.68
1991,Libya 1991,86000,7,.,.,.,.,.,.
1991,St Lucia 1991,.,.,.,.,.,.,.,.
1991,Liechtenstein 1991,.,.,.,.,.,.,.,.
1991,Sri Lanka 1991,110000,2,3.082,12,167000000,389541268.98,3541.25,4.84
1991,Lesotho 1991,2000,0,4.244,11,4000000,35979185.68,17980.60,34.53
1991,Lithuania 1991,.,.,.,.,.,.,.,.
1991,Luxembourg 1991,1000,1,0.745,.,.,158273905.36,158115.79,2.88
1991,Latvia 1991,.,.,.,.,.,.,.,.
1991,Morocco 1991,195000,2,3.703,.,62000000,1404605897.52,7203.07,4.87
1991,Monaco 1991,.,.,.,.,.,.,.,.
1991,Moldova 1991,.,.,.,.,.,.,.,.
1991,Madagascar 1991,21000,0,1.308,.,.,46479721.21,2213.21,7.41
1991,Maldives 1991,.,.,.,.,.,.,.,.
1991,Mexico 1991,175000,1,0.509,4,40000000,2977956417.84,17016.80,2.54
1991,Marshall Islands 1991,.,.,.,.,6000000,.,.,.
1991,Macedonia 1991,.,.,.,.,.,.,.,.
1991,Mali 1991,13000,1,.,.,.,.,.,.
1991,Malta 1991,2000,1,0.791,.,.,28716064.07,14350.86,1.41
1991,Myanmar 1991,286000,1,3.171,.,232000000,.,.,.
1991,Montenegro 1991,.,.,.,.,.,.,.,.
1991,Mongolia 1991,31000,4,3.929,.,.,66297618.11,2138.56,2.81
1991,Mozambique 1991,65000,1,2.200,.,.,57543186.58,885.27,4.64
1991,Mauritania 1991,17000,3,2.732,.,18000000,37029449.57,2178.07,3.34
1991,Mauritius 1991,1000,0,0.367,.,.,12340367.54,12328.04,3.93
1991,Malawi 1991,8000,0,1.076,.,.,20896878.42,2611.78,12.91
1991,Malaysia (-1965) 1991,.,.,.,.,.,.,.,.
1991,Malaysia (1966-) 1991,128000,2,3.199,.,34000000,2008622112.83,15692.24,4.68
1991,Namibia 1991,8000,2,4.805,16,.,206980866.90,25869.37,8.81
1991,Niger 1991,5000,0,.,.,7000000,.,.,.
1991,Nigeria 1991,94000,0,0.734,.,3000000,411493689.26,4377.55,7.66
1991,Nicaragua 1991,20000,1,4.002,17,1000000,154916266.86,7745.43,8.48
1991,Netherlands 1991,104000,1,2.241,.,314000000,10526939107.19,101219.60,3.25
1991,Norway 1991,41000,2,2.698,.,340000000,5363803348.39,130821.28,2.80
1991,Nepal 1991,35000,0,1.066,.,.,47955548.43,1370.12,5.86
1991,Nauru 1991,.,.,.,.,.,.,.,.
1991,New Zealand 1991,11000,1,2.257,.,42000000,1562852751.07,142064.61,7.17
1991,Oman 1991,29000,5,14.752,47,.,2966511887.53,102289.99,9.63
1991,Pakistan (-1970) 1991,.,.,.,.,.,.,.,.
1991,Pakistan (1971-) 1991,565000,2,7.180,37,496000000,4398847344.12,7785.56,14.06
1991,Panama 1991,12000,1,1.345,6,.,112512597.88,9375.27,2.83
1991,Peru 1991,123000,1,1.175,8,96000000,497662665.59,4046.01,2.13
1991,Philippines 1991,107000,0,2.011,13,34000000,1241495029.99,11602.65,11.93
1991,Palau 1991,.,.,.,.,.,.,.,.
1991,Papua New Guinea 1991,4000,0,1.390,5,10000000,44544740.20,11133.40,14.80
1991,Poland 1991,305000,2,2.052,.,162000000,3462193008.16,11351.42,2.57
1991,"Korea, North 1991",1200000,10,.,.,198000000,.,.,.
1991,Portugal 1991,86000,2,2.370,.,1015000000,3518181799.70,40908.62,2.75
1991,Paraguay 1991,16000,1,2.074,.,3000000,134486611.65,8404.89,5.60
1991,Qatar 1991,11000,4,13.011,.,17000000,.,.,.
1991,Romania 1991,201000,2,4.760,.,63000000,3522596357.19,17525.27,5.45
1991,Russia 1991,.,.,.,.,.,.,.,.
1991,Rwanda 1991,30000,1,5.510,45,.,93279703.87,3109.22,12.99
1991,Saudi Arabia 1991,191000,4,12.470,.,1049000000,26909999510.11,140889.31,11.03
1991,Serbia and Montenegro 1991,.,.,.,.,.,.,.,.
1991,Sudan (-2011) 1991,65000,1,2.246,.,81000000,273352140.32,4205.35,9.18
1991,Sudan (2012-) 1991,.,.,.,.,.,.,.,.
1991,Senegal 1991,18000,1,1.889,.,.,99128864.44,5506.85,8.13
1991,Singapore 1991,56000,3,4.448,25,375000000,2393799863.73,42745.66,2.49
1991,Solomon Islands 1991,.,.,.,.,6000000,.,.,.
1991,Sierra Leone 1991,5000,0,2.080,.,.,31506805.05,6300.10,16.41
1991,El Salvador 1991,60000,3,3.521,.,21000000,353821180.16,5896.92,3.12
1991,San Marino 1991,.,.,.,.,.,.,.,.
1991,Somalia 1991,.,.,.,.,.,.,.,.
1991,Serbia 1991,.,.,.,.,.,.,.,.
1991,South Sudan 1991,.,.,.,.,.,.,.,.
1991,Sao Tome and Principe 1991,1000,3,.,.,.,.,.,.
1991,USSR 1991,.,.,.,.,.,.,.,.
